"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","Получить список todo GET /todos (200) ?filter","chromium","Mon Nov 10 21:15:23 UTC 2025","passed","Mon Nov 10 21:15:23 UTC 2025","API challenge","","",""
"","3515","New article","chromium","Mon Nov 10 21:15:28 UTC 2025","passed","Mon Nov 10 21:15:32 UTC 2025","Регистрация","","",""
"","2647","Пользователь может зарегистрироваться с навигацией через клавиатуру","chromium","Mon Nov 10 21:15:25 UTC 2025","passed","Mon Nov 10 21:15:27 UTC 2025","Регистрация","","",""
"","22","Получить todos/{id} (200)","chromium","Mon Nov 10 21:15:23 UTC 2025","passed","Mon Nov 10 21:15:23 UTC 2025","API challenge","","",""
"","11","Отредактировать todo с POST /todos/{id} (404)","chromium","Mon Nov 10 21:15:24 UTC 2025","passed","Mon Nov 10 21:15:24 UTC 2025","API challenge","","",""
"","11","Создать todo POST /todos (201) max out content","chromium","Mon Nov 10 21:15:23 UTC 2025","passed","Mon Nov 10 21:15:23 UTC 2025","API challenge","","",""
"","5021","Update article","chromium","Mon Nov 10 21:15:32 UTC 2025","passed","Mon Nov 10 21:15:37 UTC 2025","Регистрация","","",""
"","21","Отредактировать задание PUT /todos/{id} full (200)","chromium","Mon Nov 10 21:15:24 UTC 2025","passed","Mon Nov 10 21:15:24 UTC 2025","API challenge","","",""
"","11","Отредактировать задание PUT /todos/{id}","chromium","Mon Nov 10 21:15:23 UTC 2025","passed","Mon Nov 10 21:15:23 UTC 2025","API challenge","","",""
"","4273","post comment","chromium","Mon Nov 10 21:15:37 UTC 2025","passed","Mon Nov 10 21:15:41 UTC 2025","Регистрация","","",""
"","9","Получить список todo GET /todo (404) not plural","chromium","Mon Nov 10 21:15:23 UTC 2025","passed","Mon Nov 10 21:15:23 UTC 2025","API challenge","","",""
"","10","Создать todo POST /todos (400) extra","chromium","Mon Nov 10 21:15:23 UTC 2025","passed","Mon Nov 10 21:15:23 UTC 2025","API challenge","","",""
"","3105","Favorite tab","chromium","Mon Nov 10 21:15:44 UTC 2025","passed","Mon Nov 10 21:15:47 UTC 2025","Регистрация","","",""
"","11","Создать todo POST /todos (400) title too long","chromium","Mon Nov 10 21:15:23 UTC 2025","passed","Mon Nov 10 21:15:23 UTC 2025","API challenge","","",""
"","27","Создать todo POST /todos (400) description too long","chromium","Mon Nov 10 21:15:23 UTC 2025","passed","Mon Nov 10 21:15:23 UTC 2025","API challenge","","",""
"","22","Получить список заданий get /challenges","chromium","Mon Nov 10 21:15:23 UTC 2025","passed","Mon Nov 10 21:15:23 UTC 2025","API challenge","","",""
"","2983","My tab","chromium","Mon Nov 10 21:15:41 UTC 2025","passed","Mon Nov 10 21:15:44 UTC 2025","Регистрация","","",""
"","18","Получить список todo get /todos(200)","chromium","Mon Nov 10 21:15:23 UTC 2025","passed","Mon Nov 10 21:15:23 UTC 2025","API challenge","","",""
"","10","Создать todo POST /todos (413) content too long","chromium","Mon Nov 10 21:15:23 UTC 2025","passed","Mon Nov 10 21:15:23 UTC 2025","API challenge","","",""
"","21","Создать todo POST /todos (201)","chromium","Mon Nov 10 21:15:23 UTC 2025","passed","Mon Nov 10 21:15:23 UTC 2025","API challenge","","",""
"","18","Получить /todos/{id} (404)","chromium","Mon Nov 10 21:15:23 UTC 2025","passed","Mon Nov 10 21:15:23 UTC 2025","API challenge","","",""
"","10","Удалить задание Delete /todos/{id} (200)","chromium","Mon Nov 10 21:15:24 UTC 2025","passed","Mon Nov 10 21:15:24 UTC 2025","API challenge","","",""
"","12","Создать todo POST /todos (400) doneStatus","chromium","Mon Nov 10 21:15:23 UTC 2025","passed","Mon Nov 10 21:15:23 UTC 2025","API challenge","","",""
"","12","Отредактировать todo с POST /todos/{id} (200)","chromium","Mon Nov 10 21:15:23 UTC 2025","passed","Mon Nov 10 21:15:24 UTC 2025","API challenge","","",""
