"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Удалить задание Delete /todos/{id} (200)","chromium","Mon Nov 10 21:06:42 UTC 2025","passed","Mon Nov 10 21:06:42 UTC 2025","API challenge","","",""
"","5114","Update article","chromium","Mon Nov 10 21:06:51 UTC 2025","passed","Mon Nov 10 21:06:56 UTC 2025","Регистрация","","",""
"","28","Получить /todos/{id} (404)","chromium","Mon Nov 10 21:06:41 UTC 2025","passed","Mon Nov 10 21:06:41 UTC 2025","API challenge","","",""
"","16","Отредактировать задание PUT /todos/{id}","chromium","Mon Nov 10 21:06:42 UTC 2025","passed","Mon Nov 10 21:06:42 UTC 2025","API challenge","","",""
"","3165","Favorite tab","chromium","Mon Nov 10 21:07:04 UTC 2025","passed","Mon Nov 10 21:07:07 UTC 2025","Регистрация","","",""
"","15","Получить список todo GET /todos (200) ?filter","chromium","Mon Nov 10 21:06:41 UTC 2025","passed","Mon Nov 10 21:06:41 UTC 2025","API challenge","","",""
"","11","Получить список todo GET /todo (404) not plural","chromium","Mon Nov 10 21:06:41 UTC 2025","passed","Mon Nov 10 21:06:41 UTC 2025","API challenge","","",""
"","3228","My tab","chromium","Mon Nov 10 21:07:01 UTC 2025","passed","Mon Nov 10 21:07:04 UTC 2025","Регистрация","","",""
"","25","Отредактировать задание PUT /todos/{id} full (200)","chromium","Mon Nov 10 21:06:42 UTC 2025","passed","Mon Nov 10 21:06:42 UTC 2025","API challenge","","",""
"","13","Отредактировать todo с POST /todos/{id} (404)","chromium","Mon Nov 10 21:06:42 UTC 2025","passed","Mon Nov 10 21:06:42 UTC 2025","API challenge","","",""
"","21","Получить список todo get /todos(200)","chromium","Mon Nov 10 21:06:41 UTC 2025","passed","Mon Nov 10 21:06:41 UTC 2025","API challenge","","",""
"","4184","New article","chromium","Mon Nov 10 21:06:47 UTC 2025","passed","Mon Nov 10 21:06:51 UTC 2025","Регистрация","","",""
"","25","Получить todos/{id} (200)","chromium","Mon Nov 10 21:06:41 UTC 2025","passed","Mon Nov 10 21:06:41 UTC 2025","API challenge","","",""
"","14","Создать todo POST /todos (400) title too long","chromium","Mon Nov 10 21:06:41 UTC 2025","passed","Mon Nov 10 21:06:42 UTC 2025","API challenge","","",""
"","31","Создать todo POST /todos (400) description too long","chromium","Mon Nov 10 21:06:42 UTC 2025","passed","Mon Nov 10 21:06:42 UTC 2025","API challenge","","",""
"","21","Получить список заданий get /challenges","chromium","Mon Nov 10 21:06:41 UTC 2025","passed","Mon Nov 10 21:06:41 UTC 2025","API challenge","","",""
"","20","Создать todo POST /todos (400) extra","chromium","Mon Nov 10 21:06:42 UTC 2025","passed","Mon Nov 10 21:06:42 UTC 2025","API challenge","","",""
"","14","Создать todo POST /todos (413) content too long","chromium","Mon Nov 10 21:06:42 UTC 2025","passed","Mon Nov 10 21:06:42 UTC 2025","API challenge","","",""
"","16","Отредактировать todo с POST /todos/{id} (200)","chromium","Mon Nov 10 21:06:42 UTC 2025","passed","Mon Nov 10 21:06:42 UTC 2025","API challenge","","",""
"","24","Создать todo POST /todos (201)","chromium","Mon Nov 10 21:06:41 UTC 2025","passed","Mon Nov 10 21:06:41 UTC 2025","API challenge","","",""
"","13","Создать todo POST /todos (201) max out content","chromium","Mon Nov 10 21:06:42 UTC 2025","passed","Mon Nov 10 21:06:42 UTC 2025","API challenge","","",""
"","4900","post comment","chromium","Mon Nov 10 21:06:56 UTC 2025","passed","Mon Nov 10 21:07:01 UTC 2025","Регистрация","","",""
"","2785","Пользователь может зарегистрироваться с навигацией через клавиатуру","chromium","Mon Nov 10 21:06:43 UTC 2025","passed","Mon Nov 10 21:06:46 UTC 2025","Регистрация","","",""
"","13","Создать todo POST /todos (400) doneStatus","chromium","Mon Nov 10 21:06:41 UTC 2025","passed","Mon Nov 10 21:06:41 UTC 2025","API challenge","","",""
