"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2894","Пользователь может зарегистрироваться с навигацией через клавиатуру","chromium","Sun Nov 09 19:42:35 UTC 2025","passed","Sun Nov 09 19:42:38 UTC 2025","Регистрация","","",""
"","15","Создать todo POST /todos (201) max out content","chromium","Sun Nov 09 19:42:34 UTC 2025","passed","Sun Nov 09 19:42:34 UTC 2025","API challenge","","",""
"","15","Создать todo POST /todos (413) content too long","chromium","Sun Nov 09 19:42:34 UTC 2025","passed","Sun Nov 09 19:42:34 UTC 2025","API challenge","","",""
"","4488","post comment","chromium","Sun Nov 09 19:42:48 UTC 2025","passed","Sun Nov 09 19:42:53 UTC 2025","Регистрация","","",""
"","24","Создать todo POST /todos (201)","chromium","Sun Nov 09 19:42:34 UTC 2025","passed","Sun Nov 09 19:42:34 UTC 2025","API challenge","","",""
"","14","Удалить задание Delete /todos/{id} (200)","chromium","Sun Nov 09 19:42:34 UTC 2025","passed","Sun Nov 09 19:42:34 UTC 2025","API challenge","","",""
"","14","Создать todo POST /todos (400) title too long","chromium","Sun Nov 09 19:42:34 UTC 2025","passed","Sun Nov 09 19:42:34 UTC 2025","API challenge","","",""
"","19","Получить /todos/{id} (404)","chromium","Sun Nov 09 19:42:34 UTC 2025","passed","Sun Nov 09 19:42:34 UTC 2025","API challenge","","",""
"","14","Создать todo POST /todos (400) doneStatus","chromium","Sun Nov 09 19:42:34 UTC 2025","passed","Sun Nov 09 19:42:34 UTC 2025","API challenge","","",""
"","4973","Update article","chromium","Sun Nov 09 19:42:43 UTC 2025","passed","Sun Nov 09 19:42:48 UTC 2025","Регистрация","","",""
"","28","Получить todos/{id} (200)","chromium","Sun Nov 09 19:42:34 UTC 2025","passed","Sun Nov 09 19:42:34 UTC 2025","API challenge","","",""
"","4130","New article","chromium","Sun Nov 09 19:42:39 UTC 2025","passed","Sun Nov 09 19:42:43 UTC 2025","Регистрация","","",""
"","21","Получить список todo get /todos(200)","chromium","Sun Nov 09 19:42:34 UTC 2025","passed","Sun Nov 09 19:42:34 UTC 2025","API challenge","","",""
"","28","Создать todo POST /todos (400) description too long","chromium","Sun Nov 09 19:42:34 UTC 2025","passed","Sun Nov 09 19:42:34 UTC 2025","API challenge","","",""
"","12","Получить список todo GET /todo (404) not plural","chromium","Sun Nov 09 19:42:34 UTC 2025","passed","Sun Nov 09 19:42:34 UTC 2025","API challenge","","",""
"","3006","My tab","chromium","Sun Nov 09 19:42:53 UTC 2025","passed","Sun Nov 09 19:42:56 UTC 2025","Регистрация","","",""
"","24","Отредактировать задание PUT /todos/{id} full (200)","chromium","Sun Nov 09 19:42:34 UTC 2025","passed","Sun Nov 09 19:42:34 UTC 2025","API challenge","","",""
"","15","Отредактировать todo с POST /todos/{id} (404)","chromium","Sun Nov 09 19:42:34 UTC 2025","passed","Sun Nov 09 19:42:34 UTC 2025","API challenge","","",""
"","14","Создать todo POST /todos (400) extra","chromium","Sun Nov 09 19:42:34 UTC 2025","passed","Sun Nov 09 19:42:34 UTC 2025","API challenge","","",""
"","3052","Favorite tab","chromium","Sun Nov 09 19:42:56 UTC 2025","passed","Sun Nov 09 19:42:59 UTC 2025","Регистрация","","",""
"","15","Получить список todo GET /todos (200) ?filter","chromium","Sun Nov 09 19:42:34 UTC 2025","passed","Sun Nov 09 19:42:34 UTC 2025","API challenge","","",""
"","14","Отредактировать задание PUT /todos/{id}","chromium","Sun Nov 09 19:42:34 UTC 2025","passed","Sun Nov 09 19:42:34 UTC 2025","API challenge","","",""
"","16","Отредактировать todo с POST /todos/{id} (200)","chromium","Sun Nov 09 19:42:34 UTC 2025","passed","Sun Nov 09 19:42:34 UTC 2025","API challenge","","",""
"","19","Получить список заданий get /challenges","chromium","Sun Nov 09 19:42:34 UTC 2025","passed","Sun Nov 09 19:42:34 UTC 2025","API challenge","","",""
